"x"	"y"	"bio.1"	"bio.2"	"bio.4"	"bio.12"	"bio.15"
-74.25	12.75	NA	NA	NA	NA	NA
-73.75	12.75	NA	NA	NA	NA	NA
-73.25	12.75	NA	NA	NA	NA	NA
-72.75	12.75	NA	NA	NA	NA	NA
-72.25	12.75	NA	NA	NA	NA	NA
-71.75	12.75	NA	NA	NA	NA	NA
-71.25	12.75	NA	NA	NA	NA	NA
-70.75	12.75	NA	NA	NA	NA	NA
-70.25	12.75	NA	NA	NA	NA	NA
-69.75	12.75	NA	NA	NA	NA	NA
-69.25	12.75	NA	NA	NA	NA	NA
-68.75	12.75	NA	NA	NA	NA	NA
-68.25	12.75	NA	NA	NA	NA	NA
-67.75	12.75	NA	NA	NA	NA	NA
-67.25	12.75	NA	NA	NA	NA	NA
-66.75	12.75	NA	NA	NA	NA	NA
-66.25	12.75	NA	NA	NA	NA	NA
-65.75	12.75	NA	NA	NA	NA	NA
-65.25	12.75	NA	NA	NA	NA	NA
-64.75	12.75	NA	NA	NA	NA	NA
-64.25	12.75	NA	NA	NA	NA	NA
-63.75	12.75	NA	NA	NA	NA	NA
-63.25	12.75	NA	NA	NA	NA	NA
